iter	Passed	Remaining
498	1229	123
499	1231	120
500	1233	118
501	1236	115
502	1238	113
503	1240	110
504	1243	108
505	1246	105
506	1248	103
507	1251	100
508	1253	98
509	1256	96
510	1258	93
511	1261	91
512	1264	88
513	1266	86
514	1269	83
515	1271	81
516	1274	78
517	1277	76
518	1279	73
519	1282	71
520	1284	69
521	1287	66
522	1289	64
523	1292	61
524	1295	59
525	1297	56
526	1300	54
527	1302	51
528	1305	49
529	1307	46
530	1310	44
531	1313	41
532	1315	39
533	1318	37
534	1320	34
535	1323	32
536	1325	29
537	1328	27
538	1330	24
539	1333	22
540	1335	19
541	1338	17
542	1340	14
543	1342	12
544	1345	9
545	1347	7
546	1350	4
547	1352	2
548	1354	0
